Step: 53000, Episode: 35, Stage: 1-1, Score: 300, Time: 372, Episode Max X: 1135, All-Time Max X: 3157, Episode Reward: -78186.0
Step: 53500, Episode: 35, Stage: 1-1, Score: 600, Time: 327, Episode Max X: 1135, All-Time Max X: 3157, Episode Reward: -161746.0
Step: 54000, Episode: 35, Stage: 1-1, Score: 1650, Time: 230, Episode Max X: 1135, All-Time Max X: 3157, Episode Reward: -186335.0
Step: 54500, Episode: 35, Stage: 1-1, Score: 1950, Time: 130, Episode Max X: 1135, All-Time Max X: 3157, Episode Reward: -225913.0
Step: 55000, Episode: 36, Stage: 1-1, Score: 300, Time: 342, Episode Max X: 565, All-Time Max X: 3157, Episode Reward: -3147.0
Step: 55500, Episode: 37, Stage: 1-1, Score: 0, Time: 374, Episode Max X: 266, All-Time Max X: 3157, Episode Reward: -15804.0
Step: 56000, Episode: 37, Stage: 1-1, Score: 0, Time: 274, Episode Max X: 723, All-Time Max X: 3157, Episode Reward: -29801.0
Step: 56500, Episode: 37, Stage: 1-1, Score: 300, Time: 174, Episode Max X: 1049, All-Time Max X: 3157, Episode Reward: -48651.0
Step: 57000, Episode: 37, Stage: 1-1, Score: 300, Time: 364, Episode Max X: 1123, All-Time Max X: 3157, Episode Reward: -146553.0
Step: 57500, Episode: 37, Stage: 1-1, Score: 500, Time: 264, Episode Max X: 1123, All-Time Max X: 3157, Episode Reward: -181300.0
Step: 58000, Episode: 38, Stage: 1-1, Score: 0, Time: 377, Episode Max X: 85, All-Time Max X: 3157, Episode Reward: -4119.0
Step: 58500, Episode: 38, Stage: 1-1, Score: 0, Time: 371, Episode Max X: 676, All-Time Max X: 3157, Episode Reward: -44469.0
Step: 59000, Episode: 38, Stage: 1-1, Score: 400, Time: 271, Episode Max X: 676, All-Time Max X: 3157, Episode Reward: -76534.0
Step: 59500, Episode: 38, Stage: 1-1, Score: 1850, Time: 323, Episode Max X: 697, All-Time Max X: 3157, Episode Reward: -136386.0
Step: 60000, Episode: 38, Stage: 1-1, Score: 1950, Time: 223, Episode Max X: 819, All-Time Max X: 3157, Episode Reward: -168978.0
Step: 60500, Episode: 39, Stage: 1-1, Score: 0, Time: 390, Episode Max X: 40, All-Time Max X: 3157, Episode Reward: -2056.0
Step: 61000, Episode: 39, Stage: 1-1, Score: 300, Time: 308, Episode Max X: 309, All-Time Max X: 3157, Episode Reward: -40475.0
Step: 61500, Episode: 39, Stage: 1-1, Score: 1700, Time: 211, Episode Max X: 759, All-Time Max X: 3157, Episode Reward: -39233.0
Step: 62000, Episode: 40, Stage: 1-1, Score: 0, Time: 370, Episode Max X: 363, All-Time Max X: 3157, Episode Reward: 13192.0
Step: 62500, Episode: 40, Stage: 1-1, Score: 200, Time: 270, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -16639.0
Step: 63000, Episode: 40, Stage: 1-1, Score: 300, Time: 373, Episode Max X: 823, All-Time Max X: 3157, Episode Reward: -103407.0
Step: 63500, Episode: 41, Stage: 1-1, Score: 0, Time: 361, Episode Max X: 594, All-Time Max X: 3157, Episode Reward: -333.0
Step: 64000, Episode: 41, Stage: 1-1, Score: 300, Time: 324, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -70046.0
Step: 64500, Episode: 42, Stage: 1-1, Score: 400, Time: 358, Episode Max X: 408, All-Time Max X: 3157, Episode Reward: -8658.0
Step: 65000, Episode: 43, Stage: 1-1, Score: 200, Time: 358, Episode Max X: 328, All-Time Max X: 3157, Episode Reward: 10176.0
Step: 65500, Episode: 43, Stage: 1-1, Score: 400, Time: 400, Episode Max X: 898, All-Time Max X: 3157, Episode Reward: -35832.0
Step: 66000, Episode: 43, Stage: 1-1, Score: 900, Time: 300, Episode Max X: 898, All-Time Max X: 3157, Episode Reward: -69360.0
Step: 66500, Episode: 43, Stage: 1-1, Score: 1200, Time: 321, Episode Max X: 898, All-Time Max X: 3157, Episode Reward: -167056.0
Step: 67000, Episode: 44, Stage: 1-1, Score: 200, Time: 393, Episode Max X: 264, All-Time Max X: 3157, Episode Reward: -31520.0
Step: 67500, Episode: 45, Stage: 1-1, Score: 100, Time: 307, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: 6312.0
Step: 68000, Episode: 45, Stage: 1-1, Score: 200, Time: 389, Episode Max X: 1125, All-Time Max X: 3157, Episode Reward: -72360.0
Step: 68500, Episode: 46, Stage: 1-1, Score: 200, Time: 364, Episode Max X: 278, All-Time Max X: 3157, Episode Reward: -22566.0
Step: 69000, Episode: 46, Stage: 1-1, Score: 400, Time: 264, Episode Max X: 659, All-Time Max X: 3157, Episode Reward: -36579.0
Step: 69500, Episode: 46, Stage: 1-1, Score: 500, Time: 164, Episode Max X: 886, All-Time Max X: 3157, Episode Reward: -63488.0
Step: 70000, Episode: 46, Stage: 1-1, Score: 2800, Time: 69, Episode Max X: 1684, All-Time Max X: 3157, Episode Reward: -30812.0
Step: 70500, Episode: 47, Stage: 1-1, Score: 100, Time: 334, Episode Max X: 273, All-Time Max X: 3157, Episode Reward: -30892.0
Step: 71000, Episode: 47, Stage: 1-1, Score: 1300, Time: 237, Episode Max X: 897, All-Time Max X: 3157, Episode Reward: -11269.0
